,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.13,17.1,15.1,4.4,51.1%,3.8%,243,"138,716"
1,Reyna,1.2,18.3,15.2,4.3,50.8%,13.0%,257,"468,467"
2,Cypher,1.01,14.5,14.3,5,50.5%,11.7%,202,"423,682"
3,Astra,1.05,15.2,14.5,5.7,50.4%,1.5%,211,"52,571"
4,Gekko,0.94,13.9,14.8,4.8,50.4%,4.4%,194,"160,166"
5,Sage,0.92,13.5,14.7,6.7,50.4%,7.3%,192,"262,809"
6,Brimstone,0.97,14.4,14.8,7.6,50.3%,4.0%,207,"145,284"
7,Jett,1.13,17.5,15.5,3.6,50.3%,8.3%,245,"298,508"
8,Deadlock,1.01,14.8,14.7,4.1,49.8%,1.5%,206,"52,792"
9,Fade,0.94,14,14.9,5.9,49.6%,2.1%,198,"77,024"
10,Omen,1,14.9,14.9,6,49.5%,11.0%,207,"396,482"
11,Raze,1.05,16.3,15.6,4.4,49.4%,5.7%,236,"206,519"
12,Sova,0.97,14.2,14.6,5,49.2%,3.4%,201,"124,543"
13,Skye,0.94,14,14.9,7.1,49.2%,4.8%,198,"171,746"
14,Chamber,1.11,16.3,14.8,3.3,48.9%,2.9%,225,"104,918"
15,Breach,0.95,14.4,15.2,6,48.9%,2.1%,203,"76,767"
16,Killjoy,0.97,14.1,14.4,3.7,48.4%,1.7%,199,"63,029"
17,Viper,0.98,14.5,14.7,5,48.1%,1.4%,205,"50,636"
18,Neon,1.01,16.2,16,4.2,48.0%,1.8%,231,"64,180"
19,Iso,1.04,16.5,15.9,4.2,46.7%,2.3%,235,"82,712"
20,Harbor,0.92,13.9,15.1,5.5,46.2%,1.0%,195,"35,076"
21,Yoru,1.01,15.7,15.5,4.2,46.2%,1.8%,221,"65,988"
22,KAY/O,0.91,13.9,15.4,8.2,45.6%,2.5%,202,"88,844"
