,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Cypher,0.99,14,14.2,5.2,50.8%,10.9%,198,"330,157"
1,Reyna,1.16,17.5,15.1,4.4,50.8%,12.3%,249,"370,364"
2,Brimstone,0.95,13.9,14.7,7.2,50.8%,4.3%,203,"128,965"
3,Phoenix,1.08,16.2,15,4.5,50.8%,3.8%,233,"114,969"
4,Astra,1.02,14.6,14.3,5.5,50.5%,1.1%,205,"32,372"
5,Sage,0.89,13,14.5,6.7,50.4%,9.2%,187,"276,903"
6,Gekko,0.91,13.4,14.8,4.9,50.2%,4.8%,190,"145,429"
7,Jett,1.08,16.5,15.3,3.8,50.1%,6.3%,236,"190,813"
8,Deadlock,0.97,14.2,14.7,4.2,49.6%,1.7%,200,"51,597"
9,Omen,0.97,14.4,14.8,5.6,49.6%,10.2%,204,"308,674"
10,Raze,1.01,15.5,15.4,4.6,49.5%,5.5%,228,"166,062"
11,Killjoy,0.95,13.6,14.2,3.9,49.4%,2.3%,196,"70,489"
12,Fade,0.9,13.4,14.8,6,49.3%,2.3%,192,"70,786"
13,Skye,0.91,13.4,14.7,7.2,49.3%,5.1%,193,"152,585"
14,Breach,0.92,13.9,15.1,5.7,49.0%,2.0%,200,"61,324"
15,Neon,0.98,15.6,15.9,4.2,48.6%,2.4%,225,"72,724"
16,Sova,0.93,13.6,14.6,5,48.6%,3.3%,195,"100,249"
17,Chamber,1.06,15.4,14.6,3.5,48.5%,2.5%,217,"76,718"
18,Viper,0.95,13.9,14.6,5,48.1%,1.9%,200,"57,760"
19,Iso,1,15.6,15.7,4.3,47.3%,2.3%,227,"69,349"
20,Yoru,0.97,14.8,15.3,4.3,46.8%,2.2%,212,"66,111"
21,KAY/O,0.87,13.3,15.2,8,46.8%,2.4%,195,"73,749"
22,Harbor,0.89,13.4,15,5.4,46.3%,1.0%,191,"31,421"
