,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.12,17.2,15.4,4.4,50.9%,3.7%,240,"78,587"
1,Astra,1.04,15.3,14.6,6.2,50.8%,2.0%,208,"43,570"
2,Sage,0.93,13.8,14.9,6.7,50.6%,4.7%,193,"101,160"
3,Reyna,1.16,18,15.5,4.1,50.5%,11.9%,248,"253,135"
4,Brimstone,0.96,14.3,15,8.2,50.2%,3.2%,203,"67,973"
5,Cypher,1.01,14.6,14.5,4.8,50.2%,13.6%,200,"290,531"
6,Gekko,0.94,14.1,15,4.9,50.1%,4.6%,192,"97,421"
7,Deadlock,1.02,15.2,14.9,4.1,50.0%,1.2%,207,"26,647"
8,Jett,1.09,17.4,15.9,3.4,49.6%,10.6%,240,"225,766"
9,Fade,0.96,14.3,15,6.1,49.4%,2.2%,198,"47,530"
10,Skye,0.94,14.2,15,7,49.3%,4.6%,197,"98,917"
11,Omen,0.99,14.8,15,6.6,49.3%,12.5%,203,"267,125"
12,Sova,0.98,14.3,14.7,5.1,49.0%,3.9%,200,"84,231"
13,Raze,1.03,16.4,15.9,4.2,48.8%,6.0%,233,"128,653"
14,Chamber,1.1,16.4,15,3,48.6%,3.3%,223,"70,550"
15,Breach,0.94,14.3,15.3,6.5,48.3%,2.1%,199,"45,385"
16,Viper,0.99,14.7,14.8,5,47.5%,0.8%,205,"16,517"
17,Neon,0.97,15.9,16.4,4.1,47.3%,1.1%,224,"22,654"
18,Killjoy,0.97,14.2,14.6,3.5,46.8%,1.1%,198,"22,857"
19,Yoru,1,15.9,15.8,4.2,46.1%,1.5%,220,"32,318"
20,Harbor,0.92,14.1,15.2,5.7,46.0%,0.8%,194,"16,696"
21,Iso,1.02,16.5,16.1,4.1,46.0%,2.0%,232,"42,094"
22,KAY/O,0.91,14.2,15.6,8.5,45.7%,2.4%,202,"52,193"
