,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Cypher,0.87,12.2,14,5.2,50.8%,6.8%,177,"48,782"
1,Astra,0.9,12.4,13.9,4.7,50.7%,0.5%,183,"3,930"
2,Sage,0.76,10.9,14.3,6.1,50.5%,12.3%,161,"87,828"
3,Brimstone,0.84,12.2,14.5,6.2,50.3%,3.6%,182,"25,479"
4,Killjoy,0.82,11.5,14,3.9,49.8%,2.9%,173,"20,975"
5,Deadlock,0.83,12,14.5,4.1,49.5%,2.1%,174,"14,825"
6,Raze,0.88,13.1,14.9,4.7,49.4%,5.9%,200,"42,160"
7,Breach,0.83,12.3,14.8,5.2,49.4%,1.4%,181,"10,117"
8,Reyna,0.98,14.5,14.8,4.4,49.3%,10.7%,213,"76,757"
9,Omen,0.84,12.4,14.7,4.8,49.2%,8.0%,180,"57,627"
10,Gekko,0.76,11.2,14.7,4.7,49.2%,5.9%,165,"42,374"
11,Fade,0.75,11.1,14.7,5.9,49.2%,3.3%,165,"23,306"
12,Skye,0.77,11.2,14.6,6.8,49.1%,4.8%,167,"34,230"
13,Phoenix,0.9,13.2,14.7,4.4,48.9%,4.4%,197,"31,751"
14,Jett,0.91,13.6,14.9,3.7,48.8%,5.0%,201,"35,862"
15,Sova,0.79,11.5,14.5,4.7,48.7%,3.7%,171,"26,751"
16,Neon,0.84,12.8,15.3,4.1,48.4%,3.8%,191,"27,398"
17,Viper,0.8,11.6,14.5,4.7,48.3%,2.6%,173,"18,628"
18,Harbor,0.76,11.3,14.8,5,48.2%,1.0%,166,"7,120"
19,KAY/O,0.74,11.2,15,7.5,47.5%,2.4%,170,"17,451"
20,Chamber,0.88,12.8,14.5,3.7,46.9%,2.0%,186,"14,449"
21,Iso,0.84,12.9,15.3,4.2,46.7%,2.5%,193,"17,730"
22,Yoru,0.83,12.5,15,4.1,46.2%,4.4%,183,"31,249"
