,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.98,14.6,14.9,6.5,51.6%,1.7%,202,"12,071"
1,Phoenix,1.11,17.4,15.6,4.5,51.3%,3.3%,240,"23,205"
2,Astra,1.05,15.4,14.8,6.9,50.7%,2.3%,208,"15,841"
3,Deadlock,1.06,15.8,14.9,4.1,50.7%,1.0%,211,"6,844"
4,Brimstone,0.98,14.7,15,9.4,50.5%,1.6%,206,"10,995"
5,Reyna,1.13,17.8,15.7,4,50.5%,11.5%,242,"79,453"
6,Gekko,0.96,14.3,14.9,4.9,50.2%,4.5%,193,"31,028"
7,Skye,0.96,14.5,15.1,7,50.2%,4.4%,198,"30,576"
8,Cypher,1.03,15.1,14.7,4.7,50.1%,15.9%,202,"110,053"
9,Sova,1,14.7,14.8,5.3,49.5%,4.9%,202,"33,883"
10,Omen,0.99,14.9,15,7.4,49.5%,14.5%,202,"100,526"
11,Fade,0.99,14.8,15,6.3,49.5%,2.8%,201,"19,349"
12,Raze,1.04,16.7,16.1,4,49.4%,7.5%,234,"51,649"
13,Jett,1.08,17.4,16.1,3.2,49.1%,13.6%,238,"93,944"
14,Chamber,1.11,16.8,15.2,2.8,48.8%,2.7%,224,"18,517"
15,Breach,0.95,14.4,15.2,7.3,48.7%,1.9%,196,"13,509"
16,Killjoy,1.02,15.1,14.8,3.4,47.4%,0.3%,205,"2,374"
17,Neon,0.97,16.1,16.6,4.3,47.1%,0.6%,223,"4,086"
18,Yoru,1,16,16,4.2,47.0%,1.5%,220,"10,182"
19,Viper,1.02,15.2,14.9,5.1,46.2%,0.3%,210,"2,032"
20,Harbor,0.94,14.4,15.3,6.2,46.1%,0.4%,196,"2,733"
21,Iso,1.03,16.8,16.3,4,45.1%,1.4%,231,"9,489"
22,KAY/O,0.93,14.5,15.7,9.1,44.1%,1.5%,205,"10,562"
