,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.12,17.1,15.3,4.4,51.0%,3.7%,241,"119,130"
1,Astra,1.05,15.2,14.6,5.9,50.7%,1.7%,210,"54,122"
2,Reyna,1.17,18,15.4,4.2,50.5%,12.5%,251,"396,302"
3,Brimstone,0.96,14.2,14.9,7.8,50.5%,3.7%,204,"117,370"
4,Gekko,0.94,13.9,14.9,4.9,50.4%,4.5%,193,"142,088"
5,Sage,0.92,13.5,14.7,6.7,50.4%,6.2%,191,"198,659"
6,Cypher,1.01,14.5,14.4,4.9,50.1%,12.5%,200,"398,801"
7,Deadlock,1.01,14.9,14.8,4.1,50.1%,1.4%,206,"43,887"
8,Jett,1.1,17.3,15.7,3.5,49.8%,9.2%,241,"291,667"
9,Fade,0.95,14.1,14.9,6,49.6%,2.1%,197,"67,526"
10,Skye,0.94,14,14.9,7,49.4%,4.7%,197,"147,977"
11,Sova,0.97,14.2,14.6,5,49.2%,3.7%,200,"116,724"
12,Omen,0.99,14.8,15,6.2,49.2%,11.7%,205,"371,880"
13,Chamber,1.1,16.3,14.8,3.2,48.8%,3.1%,223,"98,689"
14,Raze,1.03,16.2,15.8,4.3,48.7%,5.9%,233,"186,833"
15,Breach,0.94,14.3,15.3,6.1,48.5%,2.2%,201,"69,578"
16,Killjoy,0.97,14.1,14.5,3.6,48.3%,1.4%,198,"45,825"
17,Viper,0.98,14.5,14.8,5,47.9%,1.1%,204,"35,545"
18,Neon,0.98,15.9,16.2,4.1,47.3%,1.5%,226,"46,498"
19,Harbor,0.92,14,15.1,5.5,46.3%,0.9%,195,"28,847"
20,Yoru,1,15.7,15.7,4.2,46.3%,1.7%,219,"53,543"
21,Iso,1.02,16.4,16,4.1,46.3%,2.2%,232,"68,873"
22,KAY/O,0.91,14,15.5,8.2,45.9%,2.5%,201,"79,372"
