,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Cypher,0.94,13.2,14.1,5.2,50.6%,9.4%,189,"193,195"
1,Astra,0.95,13.5,14.2,5.3,50.4%,0.8%,194,"16,573"
2,Brimstone,0.9,13.2,14.6,6.8,50.3%,4.1%,194,"83,487"
3,Sage,0.84,12.1,14.5,6.5,50.2%,10.9%,176,"223,995"
4,Reyna,1.08,16.2,15,4.5,50.1%,11.3%,234,"232,151"
5,Gekko,0.85,12.6,14.8,4.8,49.6%,5.4%,181,"110,327"
6,Phoenix,1,14.8,14.9,4.5,49.4%,4.0%,217,"81,690"
7,Killjoy,0.91,12.8,14.1,3.9,49.4%,2.7%,188,"55,854"
8,Omen,0.92,13.6,14.8,5.3,49.1%,9.4%,194,"193,276"
9,Jett,1,15.3,15.2,3.9,49.0%,5.3%,221,"108,500"
10,Breach,0.88,13.2,15,5.5,48.9%,1.8%,192,"36,914"
11,Skye,0.85,12.5,14.7,7.1,48.8%,5.2%,182,"107,226"
12,Deadlock,0.9,13.3,14.7,4.2,48.8%,1.9%,189,"39,774"
13,Raze,0.95,14.5,15.3,4.7,48.8%,5.5%,216,"112,253"
14,Sova,0.87,12.7,14.6,5,48.4%,3.5%,185,"71,141"
15,Fade,0.84,12.4,14.9,6,48.2%,2.8%,181,"56,854"
16,Neon,0.93,14.5,15.7,4.2,48.1%,3.0%,212,"61,061"
17,Chamber,0.98,14.3,14.6,3.6,47.8%,2.3%,204,"47,791"
18,Viper,0.89,12.9,14.6,4.9,47.5%,2.3%,189,"46,599"
19,KAY/O,0.82,12.4,15.1,7.9,46.8%,2.4%,185,"50,023"
20,Iso,0.92,14.4,15.6,4.3,46.4%,2.3%,212,"47,113"
21,Harbor,0.83,12.5,14.9,5.3,46.4%,1.1%,180,"21,637"
22,Yoru,0.91,13.8,15.3,4.3,46.2%,2.9%,200,"59,739"
