,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.11,17.3,15.6,4.5,51.5%,3.4%,239,"34,429"
1,Deadlock,1.04,15.6,15,4.1,51.3%,1.0%,209,"9,897"
2,Brimstone,0.98,14.5,14.9,9.1,51.2%,1.9%,205,"18,887"
3,Sage,0.96,14.3,14.9,6.5,50.9%,2.2%,198,"21,700"
4,Gekko,0.95,14.3,15,4.9,50.4%,4.5%,193,"45,068"
5,Skye,0.96,14.4,15.1,7,50.1%,4.4%,197,"44,559"
6,Fade,0.98,14.7,15,6.3,50.0%,2.7%,200,"27,465"
7,Reyna,1.13,17.8,15.7,4,49.9%,11.4%,243,"114,655"
8,Cypher,1.02,15,14.7,4.7,49.9%,15.7%,201,"158,306"
9,Astra,1.05,15.5,14.8,6.7,49.8%,2.3%,209,"23,257"
10,Sova,0.99,14.6,14.8,5.3,49.3%,4.7%,201,"47,092"
11,Jett,1.08,17.4,16.1,3.3,49.3%,13.1%,237,"131,802"
12,Raze,1.03,16.6,16.1,4,49.2%,7.0%,233,"71,019"
13,Omen,0.99,14.9,15,7.2,49.0%,14.3%,202,"143,983"
14,Chamber,1.1,16.7,15.1,2.8,48.7%,2.9%,224,"28,734"
15,Neon,0.97,16,16.5,4.2,48.5%,0.6%,223,"6,172"
16,Breach,0.95,14.4,15.2,7.2,48.1%,2.1%,197,"20,722"
17,Viper,1.02,15.1,14.8,5.1,47.7%,0.3%,208,"3,473"
18,Yoru,1,16,16,4.2,46.6%,1.4%,219,"14,490"
19,Killjoy,1.01,14.9,14.7,3.3,45.9%,0.4%,204,"4,506"
20,Harbor,0.94,14.3,15.2,6.1,45.8%,0.5%,196,"4,662"
21,Iso,1.03,16.6,16.2,4,45.1%,1.5%,231,"14,797"
22,KAY/O,0.92,14.5,15.6,9,44.3%,1.8%,204,"18,004"
