,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.4,14.9,8.9,51.5%,2.2%,204,"28,533"
1,Sage,0.96,14.3,14.9,6.6,51.4%,2.7%,198,"34,443"
2,Phoenix,1.11,17.2,15.5,4.4,50.9%,3.4%,239,"43,813"
3,Astra,1.04,15.3,14.7,6.6,50.6%,2.3%,207,"29,928"
4,Fade,0.97,14.5,15,6.2,50.4%,2.5%,198,"32,383"
5,Reyna,1.14,17.8,15.7,4,50.3%,11.4%,243,"147,240"
6,Cypher,1.02,14.9,14.6,4.7,50.0%,15.4%,201,"199,039"
7,Jett,1.08,17.4,16,3.3,49.7%,12.5%,238,"161,689"
8,Gekko,0.95,14.2,15,4.9,49.7%,4.6%,192,"59,306"
9,Skye,0.95,14.4,15.1,7,49.7%,4.6%,197,"59,696"
10,Deadlock,1.04,15.6,15,4.1,49.6%,1.0%,209,"13,271"
11,Sova,0.99,14.6,14.7,5.2,49.4%,4.5%,201,"58,592"
12,Omen,0.99,14.8,15,7.1,49.4%,14.0%,202,"180,903"
13,Raze,1.03,16.6,16,4.1,49.4%,6.8%,233,"87,519"
14,Viper,1.02,15.1,14.8,5.2,48.7%,0.4%,208,"5,180"
15,Chamber,1.1,16.7,15.1,2.9,48.7%,3.0%,224,"39,168"
16,Breach,0.94,14.3,15.3,7,48.4%,2.1%,196,"26,921"
17,Killjoy,1,14.8,14.7,3.4,47.1%,0.6%,202,"7,197"
18,Neon,0.95,15.8,16.6,4.2,46.8%,0.7%,221,"8,853"
19,Yoru,1,15.9,15.9,4.2,46.7%,1.4%,220,"18,711"
20,Harbor,0.93,14.2,15.3,6,46.2%,0.5%,195,"6,972"
21,Iso,1.03,16.8,16.2,4,45.6%,1.6%,232,"20,238"
22,KAY/O,0.92,14.3,15.6,8.8,44.9%,2.0%,203,"26,218"
