,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.2%,47.8%,"1,380,017"
1,Breeze,14.1%,50.2%,49.8%,"1,368,361"
2,Sunset,14.1%,49.4%,50.6%,"1,368,657"
3,Split,14.3%,48.7%,51.3%,"1,386,690"
4,Bind,14.3%,48.1%,51.9%,"1,391,304"
5,Ascent,14.3%,47.3%,52.7%,"1,390,975"
