,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.1%,47.9%,"1,240,044"
1,Breeze,14.1%,50.1%,49.9%,"1,230,158"
2,Sunset,14.1%,49.4%,50.6%,"1,230,815"
3,Split,14.3%,48.6%,51.4%,"1,246,120"
4,Bind,14.4%,48.0%,52.0%,"1,251,787"
5,Ascent,14.3%,47.2%,52.8%,"1,251,158"
