,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.9%,47.1%,"649,226"
1,Breeze,14.2%,51.2%,48.8%,"648,443"
2,Sunset,14.2%,50.0%,50.0%,"650,746"
3,Split,14.3%,49.8%,50.2%,"652,801"
4,Bind,14.3%,49.0%,51.0%,"653,269"
5,Ascent,14.3%,47.8%,52.2%,"652,938"
