,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.9%,47.1%,"865,629"
1,Breeze,14.2%,51.0%,49.0%,"863,391"
2,Sunset,14.2%,49.9%,50.1%,"866,679"
3,Split,14.3%,49.4%,50.6%,"871,659"
4,Bind,14.3%,48.9%,51.1%,"872,183"
5,Ascent,14.3%,47.6%,52.4%,"871,786"
