,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"96,065"
1,Breeze,14.3%,49.6%,50.4%,"96,377"
2,Sunset,14.1%,48.8%,51.2%,"95,363"
3,Split,14.2%,47.4%,52.6%,"96,286"
4,Bind,14.3%,47.2%,52.8%,"97,013"
5,Ascent,14.4%,45.8%,54.2%,"97,359"
