,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"395,828"
1,Breeze,14.2%,49.6%,50.4%,"394,430"
2,Sunset,14.1%,48.9%,51.1%,"392,552"
3,Split,14.3%,47.9%,52.1%,"396,980"
4,Bind,14.4%,47.3%,52.7%,"399,446"
5,Ascent,14.4%,46.3%,53.7%,"399,807"
