,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.9%,47.1%,"1,164,232"
1,Breeze,14.1%,50.8%,49.2%,"1,160,221"
2,Sunset,14.2%,49.8%,50.2%,"1,163,348"
3,Split,14.3%,49.2%,50.8%,"1,170,559"
4,Bind,14.3%,48.9%,51.1%,"1,173,210"
5,Ascent,14.3%,47.6%,52.4%,"1,172,486"
