,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.8%,48.2%,"843,276"
1,Breeze,14.1%,49.8%,50.2%,"836,765"
2,Sunset,14.1%,49.1%,50.9%,"835,890"
3,Split,14.3%,48.4%,51.6%,"848,220"
4,Bind,14.3%,47.6%,52.4%,"851,016"
5,Ascent,14.4%,46.8%,53.2%,"851,240"
