,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.5%,48.5%,"513,642"
1,Breeze,14.1%,49.6%,50.4%,"510,565"
2,Sunset,14.1%,48.9%,51.1%,"508,837"
3,Split,14.3%,48.1%,51.9%,"515,474"
4,Bind,14.3%,47.4%,52.6%,"517,786"
5,Ascent,14.4%,46.4%,53.6%,"518,260"
