,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.5%,48.5%,"623,035"
1,Breeze,14.1%,49.6%,50.4%,"618,492"
2,Sunset,14.1%,49.0%,51.0%,"617,862"
3,Split,14.3%,48.2%,51.8%,"625,969"
4,Bind,14.3%,47.5%,52.5%,"628,310"
5,Ascent,14.4%,46.6%,53.4%,"628,936"
