,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.0%,80.8%,7.2%,126.2
1,Operator,0.7,9.9%,84.3%,5.8%,116.6
2,Vandal,0.7,12.9%,74.6%,12.5%,115.7
3,Guardian,0.6,12.1%,76.5%,11.3%,114
4,Phantom,0.7,11.2%,74.1%,14.7%,109.1
5,Odin,0.8,7.3%,67.6%,25.2%,104
6,Bulldog,0.6,10.5%,75.7%,13.8%,93.9
7,Ares,0.6,8.9%,70.5%,20.6%,91.7
8,Marshal,0.3,18.4%,75.0%,6.5%,90.5
9,Spectre,0.6,9.9%,75.1%,15.1%,86.5
10,Sheriff,0.5,18.1%,73.6%,8.4%,85.6
11,Judge,0.6,10.1%,72.4%,17.5%,82.4
12,Ghost,0.6,13.4%,76.1%,10.5%,76.1
13,Bucky,0.5,11.4%,74.6%,13.9%,71.6
14,Stinger,0.4,13.2%,73.0%,13.8%,71.6
15,Frenzy,0.5,13.0%,73.8%,13.2%,62.2
16,Classic,0.4,11.8%,76.6%,11.6%,59.6
17,Shorty,0.5,12.1%,72.8%,15.1%,56.5
