,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.1%,85.3%,4.6%,133.2
1,Vandal,0.8,29.4%,65.4%,5.2%,125.8
2,Outlaw,0.8,12.1%,83.8%,4.0%,125.4
3,Phantom,0.8,25.2%,68.5%,6.3%,116.4
4,Guardian,0.7,34.2%,62.1%,3.7%,115.9
5,Sheriff,0.5,34.8%,62.0%,3.2%,100
6,Odin,0.8,12.2%,72.3%,15.6%,99.8
7,Marshal,0.6,26.7%,69.9%,3.4%,93.9
8,Bulldog,0.7,26.4%,67.9%,5.7%,91.5
9,Judge,0.7,12.2%,75.5%,12.3%,87.9
10,Spectre,0.7,20.0%,72.5%,7.5%,80
11,Stinger,0.5,18.5%,74.5%,7.0%,79.6
12,Ares,0.6,14.9%,74.0%,11.1%,78.7
13,Ghost,0.8,33.0%,63.5%,3.5%,78.6
14,Bucky,0.5,14.2%,77.7%,8.1%,78.1
15,Shorty,0.6,14.1%,76.7%,9.1%,75.3
16,Classic,0.4,27.1%,68.3%,4.6%,68.6
17,Frenzy,0.6,21.7%,71.8%,6.5%,63.6
