,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,86.2%,4.0%,129.5
1,Outlaw,0.6,13.3%,82.4%,4.3%,129.3
2,Vandal,0.8,21.1%,72.7%,6.2%,124
3,Phantom,0.8,18.0%,74.5%,7.5%,115.9
4,Guardian,0.7,23.9%,71.5%,4.6%,115.3
5,Odin,0.9,9.8%,73.2%,17.0%,106.4
6,Marshal,0.5,23.5%,72.7%,3.9%,95.2
7,Bulldog,0.7,17.1%,75.3%,7.6%,93.4
8,Sheriff,0.5,27.2%,69.0%,3.9%,92.6
9,Judge,0.7,12.8%,75.3%,11.9%,88.5
10,Ares,0.6,11.6%,73.7%,14.6%,87
11,Spectre,0.7,14.3%,76.2%,9.5%,85.6
12,Stinger,0.6,16.7%,75.3%,8.0%,81.6
13,Ghost,0.8,23.4%,71.7%,4.9%,79
14,Bucky,0.5,15.2%,76.9%,8.0%,77.7
15,Classic,0.4,19.7%,74.2%,6.1%,66.5
16,Shorty,0.5,14.8%,75.8%,9.5%,66
17,Frenzy,0.6,17.6%,74.3%,8.1%,63.8
