,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,85.6%,4.4%,132.6
1,Vandal,0.8,27.3%,67.4%,5.3%,125.6
2,Outlaw,0.7,13.0%,82.9%,4.1%,125.5
3,Phantom,0.8,23.4%,70.2%,6.4%,116.8
4,Guardian,0.7,32.0%,64.2%,3.8%,114.9
5,Odin,0.8,11.8%,72.9%,15.3%,102.6
6,Sheriff,0.5,32.9%,63.8%,3.3%,98.2
7,Marshal,0.5,26.2%,70.3%,3.5%,94.4
8,Bulldog,0.7,24.1%,69.9%,5.9%,91.5
9,Judge,0.7,12.6%,75.5%,11.9%,88.3
10,Spectre,0.8,18.7%,73.4%,7.8%,81.5
11,Stinger,0.5,18.4%,74.5%,7.1%,80.7
12,Ares,0.6,14.9%,73.0%,12.1%,80.6
13,Ghost,0.8,30.7%,65.6%,3.7%,78.6
14,Bucky,0.5,14.8%,77.4%,7.8%,77.8
15,Shorty,0.6,14.4%,76.7%,8.9%,72.6
16,Classic,0.4,25.4%,69.8%,4.8%,68.5
17,Frenzy,0.6,21.0%,72.4%,6.6%,63.7
