,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.3%,79.7%,7.9%,122.5
1,Vandal,0.7,12.5%,73.2%,14.2%,113
2,Operator,0.6,10.3%,83.3%,6.4%,112.7
3,Guardian,0.5,11.1%,75.5%,13.4%,111.2
4,Phantom,0.7,10.8%,72.8%,16.4%,106.9
5,Odin,0.8,7.3%,66.1%,26.6%,101.4
6,Bulldog,0.5,10.0%,74.5%,15.5%,92.1
7,Ares,0.6,8.8%,69.4%,21.8%,89.8
8,Marshal,0.3,18.0%,74.2%,7.8%,86.1
9,Sheriff,0.5,18.6%,71.7%,9.6%,85.8
10,Spectre,0.5,9.8%,73.8%,16.4%,84.9
11,Judge,0.5,9.4%,70.8%,19.9%,80.4
12,Ghost,0.6,12.4%,75.6%,12.1%,73.6
13,Bucky,0.4,10.9%,72.9%,16.1%,70.6
14,Stinger,0.4,12.8%,71.3%,15.9%,67.2
15,Frenzy,0.5,12.3%,72.7%,15.0%,59.4
16,Classic,0.4,11.2%,75.6%,13.2%,57.4
17,Shorty,0.5,11.9%,71.3%,16.7%,54.1
