,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,86.2%,4.0%,130.2
1,Outlaw,0.6,13.4%,82.3%,4.2%,128.7
2,Vandal,0.8,21.9%,72.1%,6.0%,124.4
3,Phantom,0.8,18.7%,74.0%,7.3%,116.4
4,Guardian,0.7,25.0%,70.6%,4.4%,115.3
5,Odin,0.9,10.0%,73.5%,16.5%,106.2
6,Marshal,0.5,23.8%,72.5%,3.8%,95.5
7,Sheriff,0.5,27.9%,68.4%,3.7%,93.4
8,Bulldog,0.7,17.9%,74.7%,7.4%,93.3
9,Judge,0.7,12.8%,75.4%,11.8%,88.8
10,Ares,0.6,12.1%,73.6%,14.3%,86
11,Spectre,0.7,14.9%,75.9%,9.2%,85.3
12,Stinger,0.6,16.9%,75.3%,7.8%,81.6
13,Ghost,0.8,24.3%,71.0%,4.7%,79.1
14,Bucky,0.5,15.2%,76.9%,7.8%,78.2
15,Classic,0.4,20.5%,73.7%,5.8%,67.1
16,Shorty,0.5,14.9%,75.8%,9.2%,66.9
17,Frenzy,0.6,18.2%,74.1%,7.8%,64
