,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,86.0%,4.1%,130.7
1,Outlaw,0.7,13.6%,82.2%,4.2%,127.5
2,Vandal,0.8,23.3%,71.0%,5.8%,124.7
3,Phantom,0.8,20.0%,73.1%,6.9%,116.5
4,Guardian,0.7,26.9%,68.9%,4.2%,114.8
5,Odin,0.9,10.5%,73.4%,16.0%,105.3
6,Sheriff,0.5,29.1%,67.3%,3.6%,94.3
7,Marshal,0.5,24.3%,72.0%,3.7%,94.1
8,Bulldog,0.7,19.5%,73.6%,7.0%,92.5
9,Judge,0.7,13.0%,75.4%,11.7%,88.7
10,Spectre,0.7,16.0%,75.3%,8.7%,84
11,Ares,0.6,12.8%,73.4%,13.7%,83.9
12,Stinger,0.6,17.4%,75.2%,7.4%,81.4
13,Ghost,0.8,26.0%,69.7%,4.3%,78.7
14,Bucky,0.5,15.4%,77.1%,7.6%,77.9
15,Shorty,0.5,14.9%,76.1%,9.0%,67.9
16,Classic,0.4,21.8%,72.7%,5.5%,67.4
17,Frenzy,0.6,19.1%,73.5%,7.4%,63.9
