,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.7%,82.3%,5.1%,132.7
1,Operator,0.8,9.7%,85.9%,4.4%,125.6
2,Vandal,0.8,16.2%,75.3%,8.4%,121.1
3,Guardian,0.6,17.0%,76.3%,6.7%,116.7
4,Phantom,0.8,13.7%,76.0%,10.3%,113.4
5,Odin,0.9,8.0%,71.2%,20.8%,107
6,Marshal,0.4,21.4%,74.0%,4.6%,96.6
7,Bulldog,0.6,12.9%,77.1%,10.0%,95.2
8,Ares,0.6,9.7%,72.8%,17.5%,92.4
9,Sheriff,0.5,22.2%,72.6%,5.2%,89.6
10,Spectre,0.6,11.1%,76.9%,12.0%,87.8
11,Judge,0.6,11.7%,74.7%,13.6%,86.6
12,Stinger,0.5,14.8%,75.3%,9.9%,79.9
13,Ghost,0.7,17.7%,75.2%,7.0%,79.2
14,Bucky,0.5,13.8%,76.6%,9.7%,75.9
15,Frenzy,0.6,14.4%,75.3%,10.2%,64.2
16,Classic,0.4,15.0%,76.7%,8.3%,63.9
17,Shorty,0.5,13.9%,74.8%,11.4%,61.2
