,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,85.9%,4.2%,131.8
1,Outlaw,0.7,13.7%,82.1%,4.1%,126.3
2,Vandal,0.8,25.2%,69.3%,5.5%,125
3,Phantom,0.8,21.6%,71.8%,6.6%,116.8
4,Guardian,0.7,29.5%,66.5%,4.0%,113.9
5,Odin,0.8,11.3%,73.1%,15.6%,103.8
6,Sheriff,0.5,30.9%,65.7%,3.4%,95.9
7,Marshal,0.5,25.2%,71.2%,3.6%,93.7
8,Bulldog,0.7,21.6%,71.9%,6.5%,91.9
9,Judge,0.7,12.8%,75.5%,11.7%,88.4
10,Spectre,0.7,17.4%,74.4%,8.2%,82.7
11,Ares,0.6,13.8%,73.2%,13.0%,81.5
12,Stinger,0.5,18.1%,74.8%,7.2%,81.1
13,Ghost,0.8,28.3%,67.8%,3.9%,78.4
14,Bucky,0.5,15.2%,77.1%,7.7%,77.7
15,Shorty,0.5,14.7%,76.5%,8.9%,70
16,Classic,0.4,23.7%,71.3%,5.0%,68
17,Frenzy,0.6,20.1%,72.9%,7.0%,63.4
