,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.2%,85.9%,3.9%,134.3
1,Outlaw,0.9,10.0%,86.7%,3.2%,125.8
2,Vandal,0.8,31.4%,63.5%,5.0%,125.6
3,Guardian,0.7,35.5%,61.1%,3.4%,120.6
4,Phantom,0.8,26.7%,67.2%,6.1%,115.7
5,Sheriff,0.5,36.9%,60.2%,2.9%,101.3
6,Odin,0.8,11.6%,72.2%,16.2%,97.7
7,Marshal,0.7,25.0%,71.8%,3.2%,92.5
8,Bulldog,0.8,28.8%,65.7%,5.4%,91.6
9,Judge,0.7,11.5%,75.8%,12.7%,87
10,Shorty,0.8,13.6%,77.3%,9.0%,83.1
11,Ares,0.6,11.7%,75.3%,13.0%,82.1
12,Stinger,0.5,17.9%,74.3%,7.8%,81.8
13,Bucky,0.6,13.6%,78.7%,7.7%,80.5
14,Spectre,0.7,21.3%,71.5%,7.2%,79.6
15,Ghost,0.8,35.7%,61.0%,3.3%,79.1
16,Classic,0.5,27.7%,67.8%,4.6%,67.4
17,Frenzy,0.7,22.0%,72.4%,5.6%,63.5
