,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,86.1%,4.1%,131.1
1,Outlaw,0.7,13.7%,82.1%,4.2%,127.3
2,Vandal,0.8,23.9%,70.4%,5.7%,124.9
3,Phantom,0.8,20.5%,72.7%,6.8%,116.7
4,Guardian,0.7,27.8%,68.1%,4.1%,114.6
5,Odin,0.9,10.8%,73.4%,15.8%,105
6,Sheriff,0.5,29.8%,66.6%,3.5%,95
7,Marshal,0.5,24.7%,71.7%,3.6%,94.3
8,Bulldog,0.7,20.1%,73.1%,6.8%,92.4
9,Judge,0.7,12.9%,75.4%,11.7%,88.8
10,Spectre,0.7,16.5%,75.0%,8.5%,83.8
11,Ares,0.6,13.2%,73.4%,13.4%,83
12,Stinger,0.6,17.7%,74.9%,7.4%,81.5
13,Ghost,0.8,26.8%,69.0%,4.2%,78.8
14,Bucky,0.5,15.4%,77.1%,7.6%,78.1
15,Shorty,0.5,14.9%,76.1%,9.0%,68.7
16,Classic,0.4,22.5%,72.2%,5.3%,67.7
17,Frenzy,0.6,19.5%,73.3%,7.2%,63.8
