,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,85.5%,4.5%,132.8
1,Vandal,0.8,30.1%,64.7%,5.3%,125.9
2,Outlaw,0.8,11.4%,84.7%,3.9%,125.6
3,Guardian,0.7,35.1%,61.4%,3.5%,116.8
4,Phantom,0.8,25.6%,68.1%,6.4%,116.4
5,Sheriff,0.5,35.4%,61.4%,3.2%,100.5
6,Odin,0.8,12.3%,72.1%,15.6%,99.6
7,Marshal,0.6,26.4%,70.2%,3.3%,93.1
8,Bulldog,0.7,27.2%,67.2%,5.6%,90.8
9,Judge,0.7,12.0%,75.4%,12.6%,87.9
10,Stinger,0.5,18.5%,74.1%,7.3%,80.5
11,Spectre,0.7,20.5%,72.0%,7.5%,79.6
12,Ares,0.6,13.7%,74.2%,12.1%,79.2
13,Ghost,0.8,33.8%,62.7%,3.5%,78.6
14,Bucky,0.5,14.0%,77.7%,8.4%,77.4
15,Shorty,0.7,13.7%,77.1%,9.1%,76.3
16,Classic,0.4,27.7%,67.6%,4.7%,68.3
17,Frenzy,0.6,22.4%,71.2%,6.4%,63.8
