,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.2%,85.4%,4.4%,133.1
1,Vandal,0.8,28.7%,66.0%,5.3%,126
2,Outlaw,0.8,12.2%,83.7%,4.0%,125.5
3,Phantom,0.8,24.6%,69.1%,6.3%,116.7
4,Guardian,0.7,33.4%,63.0%,3.7%,115.5
5,Odin,0.8,12.0%,73.1%,14.9%,101.6
6,Sheriff,0.5,34.2%,62.6%,3.2%,99.7
7,Marshal,0.6,26.3%,70.3%,3.4%,93.6
8,Bulldog,0.7,25.6%,68.6%,5.8%,91.8
9,Judge,0.7,12.3%,75.5%,12.2%,88.2
10,Ares,0.6,14.9%,73.3%,11.8%,80.9
11,Stinger,0.5,18.5%,74.4%,7.0%,80.8
12,Spectre,0.8,19.5%,72.9%,7.6%,80.8
13,Ghost,0.8,32.2%,64.3%,3.6%,78.8
14,Bucky,0.5,14.4%,77.6%,7.9%,77.4
15,Shorty,0.6,14.2%,76.7%,9.1%,74.9
16,Classic,0.4,26.5%,68.8%,4.7%,68.8
17,Frenzy,0.6,21.4%,72.3%,6.3%,64.1
