,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,86.2%,4.0%,130.7
1,Outlaw,0.7,13.5%,82.3%,4.1%,128.6
2,Vandal,0.8,22.6%,71.5%,5.9%,124.8
3,Phantom,0.8,19.4%,73.6%,7.0%,116.7
4,Guardian,0.7,26.1%,69.7%,4.2%,115.4
5,Odin,0.9,10.3%,73.5%,16.2%,106
6,Marshal,0.5,24.3%,72.0%,3.7%,95.4
7,Sheriff,0.5,28.6%,67.8%,3.7%,94.2
8,Bulldog,0.7,18.6%,74.2%,7.1%,93.1
9,Judge,0.7,12.9%,75.4%,11.7%,89.1
10,Ares,0.6,12.4%,73.5%,14.1%,85.2
11,Spectre,0.7,15.4%,75.6%,9.0%,84.9
12,Stinger,0.6,17.2%,75.2%,7.6%,81.9
13,Ghost,0.8,25.2%,70.3%,4.5%,79.1
14,Bucky,0.5,15.3%,77.0%,7.6%,78.3
15,Shorty,0.5,14.9%,76.0%,9.0%,67.8
16,Classic,0.4,21.2%,73.2%,5.6%,67.4
17,Frenzy,0.6,18.8%,73.7%,7.6%,64.1
