,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,85.5%,4.5%,132.8
1,Vandal,0.8,28.0%,66.7%,5.3%,125.9
2,Outlaw,0.7,12.6%,83.3%,4.0%,125
3,Phantom,0.8,24.0%,69.7%,6.3%,116.8
4,Guardian,0.7,32.8%,63.4%,3.8%,115.3
5,Odin,0.8,12.0%,72.6%,15.4%,102.4
6,Sheriff,0.5,33.6%,63.1%,3.3%,99.3
7,Marshal,0.6,26.1%,70.5%,3.4%,94.3
8,Bulldog,0.7,25.0%,69.1%,5.9%,91.5
9,Judge,0.7,12.4%,75.4%,12.2%,88.3
10,Stinger,0.5,18.5%,74.4%,7.1%,81.2
11,Spectre,0.7,19.1%,73.2%,7.7%,81
12,Ares,0.6,14.8%,73.0%,12.1%,80.3
13,Ghost,0.8,31.5%,64.9%,3.6%,78.6
14,Bucky,0.5,14.6%,77.5%,7.9%,78.2
15,Shorty,0.6,14.3%,76.7%,9.0%,73.9
16,Classic,0.4,26.0%,69.3%,4.8%,68.6
17,Frenzy,0.6,21.3%,72.1%,6.7%,63.9
