,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.7%,82.5%,4.8%,132.6
1,Operator,0.8,9.8%,86.0%,4.2%,127.1
2,Vandal,0.8,17.3%,75.0%,7.7%,122.2
3,Guardian,0.7,18.6%,75.4%,6.0%,117
4,Phantom,0.8,14.6%,76.0%,9.4%,114.5
5,Odin,0.9,8.4%,72.0%,19.6%,107.5
6,Marshal,0.4,22.0%,73.7%,4.3%,96.9
7,Bulldog,0.6,13.7%,77.1%,9.2%,95.4
8,Ares,0.6,10.1%,73.3%,16.6%,92
9,Sheriff,0.5,23.4%,71.9%,4.7%,90.5
10,Spectre,0.7,11.7%,77.0%,11.3%,88
11,Judge,0.7,12.0%,75.0%,13.0%,87.6
12,Stinger,0.6,15.2%,75.5%,9.3%,81
13,Ghost,0.7,19.0%,74.6%,6.4%,79.7
14,Bucky,0.5,14.3%,76.7%,9.0%,77
15,Classic,0.4,16.1%,76.3%,7.6%,64.8
16,Frenzy,0.6,15.1%,75.2%,9.6%,64.6
17,Shorty,0.5,14.2%,75.1%,10.7%,62.4
