,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,85.7%,4.3%,132.5
1,Outlaw,0.7,13.2%,82.5%,4.2%,125.8
2,Vandal,0.8,26.5%,68.1%,5.4%,125.4
3,Phantom,0.8,22.8%,70.8%,6.4%,116.8
4,Guardian,0.7,31.0%,65.1%,3.9%,114.3
5,Odin,0.8,11.6%,73.0%,15.4%,103
6,Sheriff,0.5,32.2%,64.4%,3.4%,97.5
7,Marshal,0.5,25.8%,70.7%,3.6%,94.5
8,Bulldog,0.7,23.3%,70.6%,6.2%,91.6
9,Judge,0.7,12.7%,75.4%,11.8%,88.5
10,Spectre,0.7,18.3%,73.8%,7.9%,81.9
11,Stinger,0.5,18.4%,74.5%,7.1%,80.8
12,Ares,0.6,14.6%,72.8%,12.6%,80.6
13,Ghost,0.8,29.8%,66.4%,3.8%,78.6
14,Bucky,0.5,15.0%,77.3%,7.7%,77.9
15,Shorty,0.6,14.5%,76.7%,8.9%,72
16,Classic,0.4,24.8%,70.3%,4.9%,68.3
17,Frenzy,0.6,20.8%,72.5%,6.7%,64
