,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.2%,82.4%,4.4%,131.8
1,Operator,0.9,9.7%,86.2%,4.0%,128.8
2,Vandal,0.8,19.4%,73.8%,6.8%,123.5
3,Guardian,0.7,21.6%,73.4%,5.0%,116.6
4,Phantom,0.8,16.4%,75.4%,8.2%,115.7
5,Odin,0.9,9.1%,72.9%,18.0%,107.3
6,Marshal,0.5,23.0%,73.0%,4.0%,96.9
7,Bulldog,0.7,15.5%,76.2%,8.3%,94.6
8,Sheriff,0.5,25.5%,70.3%,4.2%,91.9
9,Ares,0.6,10.8%,73.7%,15.5%,89.6
10,Judge,0.7,12.5%,75.2%,12.2%,88.3
11,Spectre,0.7,13.1%,76.7%,10.2%,87
12,Stinger,0.6,16.0%,75.5%,8.5%,81.9
13,Ghost,0.8,21.4%,73.1%,5.5%,79.7
14,Bucky,0.5,14.8%,76.9%,8.3%,77.7
15,Classic,0.4,18.1%,75.2%,6.7%,66
16,Shorty,0.5,14.6%,75.5%,9.9%,64.8
17,Frenzy,0.6,16.4%,74.8%,8.7%,64.4
