,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.6%,85.8%,4.6%,133.2
1,Vandal,0.8,30.9%,63.9%,5.2%,125.7
2,Outlaw,0.8,10.6%,85.6%,3.8%,124.4
3,Guardian,0.7,35.8%,60.4%,3.8%,116.9
4,Phantom,0.8,26.1%,67.6%,6.4%,115.5
5,Sheriff,0.5,36.4%,60.5%,3.1%,101
6,Odin,0.8,12.2%,72.5%,15.3%,99.7
7,Bulldog,0.7,28.4%,66.3%,5.3%,91.1
8,Marshal,0.6,25.6%,71.2%,3.2%,89.9
9,Judge,0.7,11.5%,75.5%,13.1%,87.5
10,Stinger,0.5,18.4%,74.7%,6.8%,81.5
11,Ares,0.6,13.5%,74.4%,12.1%,80.3
12,Ghost,0.8,34.9%,61.7%,3.4%,78.6
13,Spectre,0.7,20.8%,71.8%,7.4%,78.4
14,Bucky,0.6,13.9%,78.0%,8.1%,77.5
15,Shorty,0.7,13.5%,77.6%,8.9%,76.6
16,Classic,0.5,28.0%,67.4%,4.6%,68.2
17,Frenzy,0.6,22.0%,71.4%,6.5%,62.3
