,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.1%,82.4%,4.5%,132.4
1,Operator,0.8,9.8%,86.1%,4.1%,128
2,Vandal,0.8,18.5%,74.4%,7.1%,122.9
3,Guardian,0.7,20.3%,74.3%,5.4%,116.5
4,Phantom,0.8,15.7%,75.6%,8.7%,115
5,Odin,0.9,8.8%,72.5%,18.7%,107.2
6,Marshal,0.4,22.5%,73.4%,4.1%,96.7
7,Bulldog,0.7,14.7%,76.6%,8.7%,94.7
8,Sheriff,0.5,24.7%,70.9%,4.4%,91.3
9,Ares,0.6,10.5%,73.5%,16.0%,90.6
10,Judge,0.7,12.3%,75.1%,12.6%,87.7
11,Spectre,0.7,12.5%,76.8%,10.7%,87.3
12,Stinger,0.6,15.7%,75.5%,8.9%,81.4
13,Ghost,0.7,20.3%,73.8%,5.9%,79.4
14,Bucky,0.5,14.6%,76.8%,8.6%,77.1
15,Classic,0.4,17.2%,75.7%,7.1%,65.4
16,Frenzy,0.6,15.7%,75.1%,9.2%,64.5
17,Shorty,0.5,14.5%,75.2%,10.3%,63.7
