,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.1,16.8,15.3,4.1,50.6%,1.6%,234,"31,602"
1,Reyna,1.14,17.6,15.5,4.1,50.4%,12.3%,243,"239,080"
2,Sova,0.97,14.2,14.7,5.2,50.2%,10.5%,196,"202,758"
3,Cypher,1.01,14.6,14.5,4.2,50.2%,10.7%,197,"207,805"
4,Viper,1,14.6,14.6,4.8,49.9%,15.4%,200,"298,837"
5,Chamber,1.11,16.6,14.9,2.9,49.8%,7.3%,223,"142,360"
6,Gekko,0.92,13.8,15,4.5,49.7%,2.4%,189,"45,649"
7,Jett,1.11,17.4,15.7,3.3,49.7%,15.6%,239,"302,851"
8,Sage,0.9,13.4,14.9,6.3,49.2%,3.5%,187,"68,188"
9,Neon,1.01,16.3,16.2,4,48.3%,1.7%,227,"33,324"
10,Fade,0.95,14.2,15.1,5.6,48.3%,0.7%,198,"14,068"
11,Deadlock,0.99,14.8,15,3.7,48.2%,0.7%,202,"12,710"
12,Skye,0.94,14.2,15.2,6.4,48.0%,3.5%,197,"67,152"
13,Yoru,1.03,16,15.6,4,47.9%,2.1%,220,"40,781"
14,Astra,1.02,15.1,14.7,5.2,47.8%,0.4%,205,"8,655"
15,Raze,0.99,15.7,15.8,4,47.4%,1.6%,222,"31,726"
16,Killjoy,0.95,14,14.7,3.3,47.0%,0.6%,196,"10,995"
17,Brimstone,0.93,13.9,15,6.6,46.8%,0.9%,196,"17,151"
18,Breach,0.92,14.3,15.5,5.8,46.7%,0.7%,198,"14,522"
19,Iso,1.02,16.4,16,3.8,46.3%,1.5%,228,"28,377"
20,Harbor,0.91,13.8,15.1,5,46.3%,1.3%,189,"24,316"
21,Omen,0.95,14.5,15.2,5,46.3%,2.0%,200,"37,949"
22,KAY/O,0.91,14,15.5,7.9,45.4%,2.9%,198,"56,432"
