,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.8,11.1,13.9,3.8,50.2%,2.8%,169,"20,175"
1,Gekko,0.75,11,14.6,4.4,50.1%,5.8%,162,"41,544"
2,Jett,0.94,13.8,14.6,3.6,50.0%,5.4%,203,"38,835"
3,Cypher,0.85,11.7,13.8,4.5,50.0%,6.0%,171,"42,673"
4,Sage,0.74,10.5,14.3,5.6,49.8%,12.0%,157,"85,300"
5,Reyna,0.99,14.4,14.6,4.3,49.6%,10.6%,212,"75,736"
6,Fade,0.76,11.2,14.7,5.6,49.4%,3.0%,166,"21,353"
7,Viper,0.81,11.5,14.2,4.4,49.4%,4.6%,171,"32,777"
8,Skye,0.76,11.1,14.5,6,49.2%,4.7%,166,"33,742"
9,Brimstone,0.81,11.6,14.4,5.2,49.1%,3.1%,174,"22,442"
10,Phoenix,0.89,12.9,14.5,4,48.8%,4.2%,192,"29,780"
11,Sova,0.79,11.2,14.3,4.4,48.8%,4.3%,168,"31,003"
12,Deadlock,0.81,11.8,14.5,3.8,48.8%,1.9%,172,"13,345"
13,Neon,0.87,13,15,3.9,48.7%,4.1%,193,"29,002"
14,Omen,0.84,12.2,14.5,4.1,48.6%,7.0%,177,"49,759"
15,Raze,0.85,12.6,14.8,4.1,48.6%,5.3%,191,"37,757"
16,Harbor,0.75,11,14.6,4.6,48.5%,1.2%,162,"8,892"
17,Chamber,0.91,12.9,14.2,3.4,48.2%,2.6%,187,"18,381"
18,Astra,0.87,12.1,13.9,4.1,47.7%,0.4%,178,"3,119"
19,Iso,0.84,12.7,15.1,3.9,47.6%,2.4%,191,"17,368"
20,KAY/O,0.75,11.1,14.8,6.6,47.5%,2.4%,168,"17,430"
21,Yoru,0.85,12.5,14.7,3.9,47.2%,4.7%,183,"33,514"
22,Breach,0.81,12,14.8,4.7,46.7%,1.3%,177,"9,001"
