,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Cypher,0.89,12.4,13.9,4.5,50.2%,6.9%,178,"114,473"
1,Reyna,1.04,15.4,14.7,4.4,50.0%,10.9%,224,"181,206"
2,Sage,0.78,11.3,14.4,5.9,49.8%,11.4%,166,"189,982"
3,Gekko,0.8,11.7,14.6,4.5,49.8%,5.4%,171,"90,239"
4,Killjoy,0.85,12,14,3.8,49.7%,2.8%,179,"47,325"
5,Viper,0.87,12.4,14.2,4.6,49.6%,5.2%,181,"86,777"
6,Jett,0.99,14.6,14.8,3.7,49.5%,5.6%,213,"92,585"
7,Deadlock,0.86,12.4,14.5,3.9,49.2%,1.7%,180,"28,889"
8,Astra,0.91,12.9,14.1,4.4,48.9%,0.5%,185,"8,438"
9,Skye,0.81,11.8,14.6,6.3,48.9%,5.1%,174,"85,044"
10,Chamber,0.97,13.8,14.3,3.5,48.8%,2.9%,197,"48,954"
11,Sova,0.83,11.9,14.4,4.6,48.7%,4.4%,176,"73,777"
12,Neon,0.91,13.8,15.2,4,48.7%,3.7%,203,"61,339"
13,Breach,0.85,12.6,14.9,5,48.6%,1.4%,185,"23,040"
14,Phoenix,0.94,13.8,14.7,4.2,48.6%,3.9%,204,"64,710"
15,Brimstone,0.85,12.4,14.5,5.5,48.4%,3.3%,183,"55,138"
16,Omen,0.88,12.9,14.6,4.3,48.4%,7.1%,186,"118,252"
17,Raze,0.9,13.4,15,4.2,48.3%,4.9%,201,"82,174"
18,Fade,0.8,11.8,14.7,5.7,48.1%,2.7%,175,"45,262"
19,Harbor,0.79,11.7,14.7,4.8,48.0%,1.4%,171,"23,009"
20,KAY/O,0.79,11.7,14.9,6.9,47.2%,2.6%,175,"43,178"
21,Yoru,0.9,13.3,14.8,4,47.2%,3.9%,193,"64,840"
22,Iso,0.89,13.6,15.3,4,46.6%,2.3%,202,"37,906"
