,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Cypher,1.01,14.8,14.6,4.1,50.5%,12.2%,198,"123,736"
1,Reyna,1.12,17.5,15.6,4,50.3%,12.8%,238,"129,748"
2,Sage,0.93,13.9,15,6.2,50.1%,1.5%,191,"15,601"
3,Phoenix,1.1,17,15.4,4,50.1%,1.0%,234,"9,897"
4,Sova,0.97,14.3,14.8,5.3,49.9%,14.4%,195,"145,379"
5,Viper,1,14.7,14.7,4.8,49.7%,17.8%,200,"179,742"
6,Fade,0.96,14.5,15.1,5.5,49.5%,0.3%,199,"2,934"
7,Yoru,1.02,16.1,15.7,4,49.4%,2.3%,219,"22,892"
8,Jett,1.09,17.3,15.9,3.1,49.2%,18.7%,235,"188,861"
9,Deadlock,1.01,15.2,15.1,3.6,48.9%,0.4%,204,"4,045"
10,Gekko,0.94,14.1,15.1,4.5,48.6%,1.3%,191,"13,444"
11,Chamber,1.1,16.6,15.1,2.7,48.6%,7.4%,221,"74,640"
12,Brimstone,0.93,13.9,14.8,6.6,48.5%,0.3%,195,"2,557"
13,Neon,0.99,16.3,16.4,4,48.2%,1.2%,225,"12,015"
14,Killjoy,0.98,14.6,14.9,3.2,47.9%,0.2%,201,"1,617"
15,Raze,0.99,15.7,16,3.8,47.7%,0.8%,220,"8,124"
16,Astra,1,15,15,5.3,47.7%,0.2%,203,"1,752"
17,Skye,0.95,14.5,15.3,6.3,47.5%,2.0%,199,"20,156"
18,Iso,1.01,16.3,16.2,3.6,45.4%,1.0%,226,"9,909"
19,Harbor,0.91,13.9,15.3,5,45.2%,0.8%,189,"8,158"
20,Omen,0.94,14.5,15.4,5,45.0%,0.5%,199,"5,504"
21,Breach,0.9,14.1,15.6,6.2,44.9%,0.3%,194,"2,835"
22,KAY/O,0.92,14.2,15.5,8.2,44.8%,2.7%,199,"27,500"
