,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.1,16.9,15.5,4.1,50.8%,1.3%,233,"19,445"
1,Reyna,1.12,17.4,15.6,4,50.3%,12.2%,239,"189,833"
2,Cypher,1.01,14.7,14.6,4.1,50.0%,11.5%,197,"178,389"
3,Sova,0.96,14.2,14.7,5.2,50.0%,12.6%,195,"196,046"
4,Viper,0.99,14.5,14.7,4.8,49.9%,17.0%,199,"263,459"
5,Jett,1.09,17.3,15.8,3.2,49.7%,16.9%,236,"262,734"
6,Sage,0.9,13.6,15,6.3,49.6%,2.5%,188,"38,382"
7,Gekko,0.92,13.8,15,4.5,49.1%,1.9%,188,"28,875"
8,Chamber,1.1,16.5,15,2.8,49.1%,7.6%,221,"118,364"
9,Neon,1,16.2,16.3,4,48.6%,1.5%,225,"22,529"
10,Deadlock,0.99,14.9,15.1,3.6,48.5%,0.5%,201,"8,155"
11,Yoru,1.03,16,15.6,4,48.4%,2.1%,219,"32,597"
12,Brimstone,0.93,13.9,15,6.6,48.0%,0.5%,196,"7,513"
13,Skye,0.93,14.2,15.3,6.4,47.7%,2.9%,196,"44,569"
14,Fade,0.95,14.3,15.1,5.6,47.6%,0.5%,197,"7,503"
15,Raze,0.98,15.6,15.9,3.9,46.9%,1.2%,221,"18,149"
16,Astra,1.01,15,14.9,5.2,46.6%,0.3%,203,"4,660"
17,Iso,1.01,16.3,16.1,3.7,46.2%,1.2%,226,"18,788"
18,Omen,0.95,14.5,15.3,5,45.7%,1.1%,199,"17,627"
19,Breach,0.92,14.3,15.6,5.9,45.5%,0.5%,197,"7,567"
20,Harbor,0.91,13.9,15.3,5.1,45.4%,1.1%,188,"16,337"
21,KAY/O,0.91,14.1,15.5,8.1,45.2%,2.9%,198,"44,901"
22,Killjoy,0.96,14.2,14.8,3.2,45.2%,0.3%,198,"5,097"
