,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.14,17.6,15.4,4.1,50.5%,12.2%,243,"297,546"
1,Phoenix,1.09,16.7,15.3,4.1,50.3%,1.9%,233,"47,148"
2,Sova,0.96,14.1,14.6,5.1,50.1%,8.9%,196,"215,317"
3,Viper,0.99,14.4,14.6,4.8,50.1%,13.8%,199,"336,420"
4,Jett,1.1,17.2,15.6,3.4,49.9%,14.0%,238,"339,430"
5,Cypher,0.99,14.3,14.4,4.2,49.8%,10.3%,195,"250,343"
6,Gekko,0.91,13.7,15,4.6,49.7%,2.8%,188,"68,977"
7,Chamber,1.11,16.4,14.8,2.9,49.6%,6.9%,222,"167,802"
8,Sage,0.88,13.1,14.9,6.4,49.2%,4.7%,184,"113,233"
9,Fade,0.94,14.1,15,5.6,49.0%,0.9%,197,"22,421"
10,Neon,1,16.1,16.1,4,48.9%,2.0%,226,"48,059"
11,Skye,0.93,14,15.1,6.5,48.5%,3.8%,195,"93,493"
12,Deadlock,0.97,14.5,14.9,3.7,48.2%,0.8%,199,"19,559"
13,Yoru,1.02,15.8,15.5,4,48.2%,2.1%,219,"52,070"
14,Astra,1,14.8,14.7,5.1,47.9%,0.6%,203,"14,106"
15,Harbor,0.91,13.8,15.1,5,47.3%,1.4%,189,"33,473"
16,Killjoy,0.94,13.8,14.7,3.4,47.0%,0.8%,193,"20,668"
17,Brimstone,0.91,13.6,15,6.4,46.8%,1.4%,194,"32,976"
18,Omen,0.95,14.4,15.2,4.9,46.8%,2.9%,199,"70,596"
19,Raze,0.98,15.4,15.7,4,46.8%,2.1%,220,"52,201"
20,Breach,0.91,14.1,15.5,5.6,46.5%,1.0%,197,"24,641"
21,Iso,1.02,16.2,15.9,3.8,46.4%,1.6%,228,"39,902"
22,KAY/O,0.9,13.9,15.4,7.7,45.7%,2.9%,197,"71,492"
