,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.11,16.8,15.2,4.1,50.7%,2.1%,236,"59,578"
1,Reyna,1.16,17.8,15.3,4.1,50.7%,12.6%,247,"355,670"
2,Viper,1,14.5,14.5,4.8,50.4%,12.9%,202,"361,845"
3,Gekko,0.92,13.7,14.9,4.6,50.2%,3.0%,190,"84,283"
4,Jett,1.12,17.5,15.5,3.4,50.2%,13.4%,242,"376,636"
5,Sova,0.97,14.1,14.5,5.1,50.2%,8.1%,198,"226,713"
6,Cypher,1,14.4,14.3,4.2,50.0%,10.0%,196,"280,325"
7,Chamber,1.12,16.4,14.7,3,50.0%,6.6%,224,"184,428"
8,Deadlock,0.99,14.7,14.9,3.7,50.0%,0.9%,202,"24,316"
9,Sage,0.89,13.2,14.8,6.3,49.7%,5.1%,185,"142,879"
10,Neon,1.03,16.4,16,4,49.4%,2.1%,230,"59,916"
11,Fade,0.94,14.1,15,5.7,49.4%,1.0%,198,"28,545"
12,Astra,1.02,14.9,14.6,5.1,49.0%,0.6%,206,"17,804"
13,Skye,0.93,14,15.1,6.4,48.4%,3.9%,196,"109,136"
14,Yoru,1.03,15.9,15.4,4,47.7%,2.2%,221,"62,297"
15,Killjoy,0.95,13.8,14.6,3.4,47.6%,1.0%,195,"28,486"
16,Raze,1,15.6,15.7,4,47.5%,2.4%,223,"68,320"
17,Breach,0.93,14.3,15.3,5.5,47.4%,1.1%,200,"31,697"
18,Brimstone,0.93,13.8,14.9,6.3,47.1%,1.6%,197,"45,675"
19,Omen,0.96,14.5,15.1,4.9,46.9%,3.4%,202,"95,475"
20,Iso,1.03,16.3,15.9,3.8,46.7%,1.7%,230,"49,089"
21,Harbor,0.92,13.8,15.1,5,46.7%,1.4%,191,"40,427"
22,KAY/O,0.91,14,15.3,7.7,46.1%,2.8%,199,"79,454"
