,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.9%,85.2%,3.9%,130.2
1,Outlaw,0.6,14.8%,80.9%,4.3%,127.7
2,Vandal,0.8,21.3%,72.6%,6.1%,124.2
3,Phantom,0.8,17.9%,74.6%,7.4%,116.4
4,Guardian,0.7,24.7%,70.7%,4.6%,115
5,Odin,0.9,9.6%,73.2%,17.2%,104.5
6,Marshal,0.5,25.2%,70.8%,4.0%,96.6
7,Bulldog,0.7,17.1%,75.4%,7.6%,93.1
8,Sheriff,0.5,27.3%,68.9%,3.8%,92.9
9,Ares,0.6,11.6%,73.8%,14.6%,86.1
10,Spectre,0.7,14.0%,76.3%,9.7%,85.7
11,Judge,0.6,12.4%,74.7%,12.9%,85.5
12,Stinger,0.6,16.3%,75.4%,8.3%,81.5
13,Ghost,0.8,23.4%,71.7%,4.9%,78.7
14,Bucky,0.5,14.7%,76.6%,8.7%,75.2
15,Classic,0.4,19.7%,74.1%,6.2%,66.5
16,Shorty,0.5,14.8%,74.9%,10.3%,64.4
17,Frenzy,0.6,17.3%,74.4%,8.4%,63.7
