,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.8%,80.9%,6.3%,128
1,Operator,0.7,10.2%,84.5%,5.3%,121.1
2,Vandal,0.7,13.9%,74.9%,11.2%,116.6
3,Guardian,0.6,13.7%,76.6%,9.7%,114.1
4,Phantom,0.7,11.8%,74.6%,13.6%,109.6
5,Odin,0.9,7.4%,68.3%,24.4%,103.8
6,Bulldog,0.6,11.1%,76.1%,12.8%,93.6
7,Marshal,0.4,19.8%,74.0%,6.1%,92.7
8,Ares,0.6,9.2%,70.7%,20.1%,91.4
9,Spectre,0.6,10.1%,75.2%,14.7%,86.3
10,Sheriff,0.5,19.0%,73.7%,7.3%,86
11,Judge,0.6,10.6%,72.3%,17.2%,81
12,Ghost,0.6,14.6%,75.8%,9.6%,76.6
13,Stinger,0.5,13.8%,73.4%,12.8%,74.1
14,Bucky,0.5,12.3%,74.7%,13.0%,70.9
15,Frenzy,0.5,12.9%,74.1%,12.9%,62.4
16,Classic,0.4,12.6%,76.5%,10.8%,60.8
17,Shorty,0.5,12.6%,72.7%,14.7%,55.1
