,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.0%,4.3%,133.2
1,Vandal,0.8,29.2%,66.0%,4.8%,126.4
2,Outlaw,0.7,13.2%,82.9%,4.0%,122.8
3,Phantom,0.8,25.0%,69.3%,5.7%,117.1
4,Guardian,0.7,33.5%,62.9%,3.6%,116
5,Sheriff,0.5,34.2%,62.9%,2.9%,100.1
6,Odin,0.8,12.3%,72.5%,15.1%,97.3
7,Marshal,0.5,28.4%,68.4%,3.2%,96
8,Bulldog,0.7,26.1%,68.7%,5.2%,91.3
9,Judge,0.7,12.1%,75.1%,12.8%,85.4
10,Spectre,0.8,19.2%,73.5%,7.3%,79.8
11,Stinger,0.5,18.3%,74.7%,7.0%,79.5
12,Ghost,0.8,32.0%,64.6%,3.4%,77.8
13,Bucky,0.5,14.4%,77.4%,8.2%,77
14,Shorty,0.6,15.2%,75.6%,9.2%,76.4
15,Ares,0.6,14.9%,72.4%,12.6%,76.2
16,Classic,0.4,26.6%,69.0%,4.4%,68.5
17,Frenzy,0.6,21.4%,72.2%,6.3%,63.5
