,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.3%,85.4%,4.3%,133.6
1,Vandal,0.8,31.4%,64.0%,4.7%,125.8
2,Outlaw,0.8,11.7%,85.1%,3.2%,123.8
3,Guardian,0.7,35.3%,61.1%,3.6%,117.2
4,Phantom,0.8,26.6%,67.6%,5.9%,115.7
5,Sheriff,0.5,35.5%,61.6%,2.8%,101
6,Marshal,0.6,29.2%,67.9%,2.9%,95.2
7,Odin,0.7,12.8%,72.3%,14.8%,93.3
8,Bulldog,0.7,27.8%,67.2%,5.0%,90
9,Judge,0.7,11.7%,74.9%,13.4%,84.9
10,Shorty,0.8,15.2%,75.3%,9.4%,82.9
11,Stinger,0.5,18.5%,74.3%,7.2%,79.9
12,Ares,0.6,14.0%,75.3%,10.7%,78.7
13,Spectre,0.7,20.6%,72.4%,6.9%,77.7
14,Ghost,0.8,34.2%,62.6%,3.2%,77.3
15,Bucky,0.5,13.7%,77.6%,8.6%,77
16,Classic,0.5,28.1%,67.6%,4.4%,69
17,Frenzy,0.6,22.2%,71.3%,6.5%,63.6
