,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,14.4%,81.1%,4.5%,130.6
1,Operator,0.8,10.7%,85.3%,4.0%,129.2
2,Vandal,0.8,18.6%,74.3%,7.1%,122.7
3,Guardian,0.7,20.8%,73.7%,5.5%,115.7
4,Phantom,0.8,15.5%,75.7%,8.8%,115
5,Odin,0.9,8.7%,72.3%,19.0%,105.7
6,Marshal,0.4,24.0%,71.7%,4.4%,97.6
7,Bulldog,0.7,14.5%,76.6%,8.8%,94.3
8,Sheriff,0.5,24.8%,70.8%,4.4%,91.1
9,Ares,0.6,10.5%,73.3%,16.1%,89.8
10,Spectre,0.7,12.2%,76.7%,11.1%,87.3
11,Judge,0.6,11.9%,74.2%,13.8%,84.7
12,Stinger,0.6,15.4%,75.3%,9.3%,81.3
13,Ghost,0.7,20.3%,73.8%,6.0%,79
14,Bucky,0.5,14.2%,76.3%,9.4%,74.5
15,Classic,0.4,17.1%,75.6%,7.3%,65.2
16,Frenzy,0.6,15.5%,74.9%,9.6%,64.2
17,Shorty,0.5,14.3%,74.4%,11.3%,61.6
