,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.9%,85.2%,3.9%,131
1,Outlaw,0.6,15.0%,80.9%,4.1%,125.7
2,Vandal,0.8,23.6%,70.9%,5.5%,125.1
3,Phantom,0.8,20.1%,73.3%,6.7%,117
4,Guardian,0.7,27.5%,68.3%,4.2%,114.7
5,Odin,0.8,10.3%,73.4%,16.3%,103
6,Marshal,0.5,26.1%,70.2%,3.7%,96
7,Sheriff,0.5,29.4%,67.1%,3.5%,94.8
8,Bulldog,0.7,19.5%,73.8%,6.7%,92.6
9,Judge,0.6,12.5%,74.9%,12.6%,85.6
10,Spectre,0.7,15.6%,75.5%,8.8%,84.1
11,Ares,0.6,13.0%,73.7%,13.3%,82.9
12,Stinger,0.6,17.2%,75.2%,7.7%,81.3
13,Ghost,0.8,26.0%,69.7%,4.3%,78.5
14,Bucky,0.5,15.0%,76.8%,8.2%,75.4
15,Classic,0.4,21.9%,72.6%,5.5%,67.3
16,Shorty,0.5,15.1%,75.2%,9.7%,67.2
17,Frenzy,0.5,18.9%,73.5%,7.6%,63.5
