,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.1%,80.5%,7.3%,124.3
1,Operator,0.7,10.0%,84.1%,5.9%,117.2
2,Vandal,0.7,12.9%,74.0%,13.1%,114.1
3,Guardian,0.6,12.1%,76.1%,11.7%,112.8
4,Phantom,0.7,11.1%,73.3%,15.6%,107.5
5,Odin,0.8,7.3%,66.8%,26.0%,102.1
6,Bulldog,0.6,10.4%,75.0%,14.6%,92.2
7,Ares,0.6,9.0%,69.7%,21.3%,90.3
8,Marshal,0.3,18.4%,74.6%,7.0%,89.8
9,Spectre,0.6,9.9%,74.1%,16.0%,85
10,Sheriff,0.5,17.9%,73.2%,8.9%,84.6
11,Judge,0.6,10.0%,71.2%,18.9%,79.5
12,Ghost,0.6,13.2%,75.6%,11.1%,74.8
13,Stinger,0.4,13.2%,71.9%,14.9%,70.1
14,Bucky,0.4,11.4%,73.7%,14.9%,68.9
15,Frenzy,0.5,12.5%,73.3%,14.2%,61.1
16,Classic,0.4,11.7%,76.0%,12.3%,58.9
17,Shorty,0.4,12.0%,72.0%,15.9%,53.3
