,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.8%,85.1%,4.2%,132.1
1,Vandal,0.8,26.3%,68.6%,5.1%,125.8
2,Outlaw,0.6,14.9%,81.1%,4.0%,124
3,Phantom,0.8,22.5%,71.4%,6.1%,117.3
4,Guardian,0.7,30.7%,65.4%,3.9%,114.2
5,Odin,0.8,11.3%,73.1%,15.6%,100
6,Sheriff,0.5,31.6%,65.2%,3.2%,97.3
7,Marshal,0.5,27.3%,69.1%,3.6%,95.3
8,Bulldog,0.7,22.5%,71.5%,5.9%,91.6
9,Judge,0.6,12.4%,75.0%,12.6%,85.3
10,Spectre,0.8,17.5%,74.5%,8.0%,81.8
11,Stinger,0.5,17.9%,74.9%,7.2%,80.6
12,Ares,0.6,14.5%,73.3%,12.2%,79.9
13,Ghost,0.8,29.0%,67.2%,3.8%,77.9
14,Bucky,0.5,14.8%,77.1%,8.1%,75.6
15,Shorty,0.6,15.1%,75.6%,9.4%,70.8
16,Classic,0.4,24.3%,70.8%,4.9%,67.9
17,Frenzy,0.5,20.3%,72.8%,6.9%,63.3
