,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.5%,85.4%,4.1%,135.2
1,Vandal,0.9,32.0%,63.4%,4.6%,125.9
2,Outlaw,0.8,10.7%,85.5%,3.8%,124.2
3,Guardian,0.7,35.3%,61.1%,3.6%,119.6
4,Phantom,0.8,27.4%,66.9%,5.7%,116
5,Sheriff,0.5,35.2%,62.1%,2.7%,100.9
6,Marshal,0.6,29.8%,67.2%,3.1%,94.1
7,Odin,0.7,12.9%,70.8%,16.3%,91.3
8,Bulldog,0.8,29.1%,66.1%,4.8%,90.6
9,Shorty,0.8,14.5%,76.0%,9.5%,87.1
10,Judge,0.7,11.4%,75.4%,13.2%,85.7
11,Stinger,0.6,18.1%,74.7%,7.1%,81.5
12,Bucky,0.6,14.1%,77.3%,8.6%,77.7
13,Spectre,0.8,20.2%,72.9%,6.9%,77.7
14,Ghost,0.8,35.0%,61.8%,3.3%,77.4
15,Ares,0.6,15.2%,72.5%,12.3%,75.4
16,Classic,0.5,29.1%,66.8%,4.1%,69.1
17,Frenzy,0.7,20.6%,73.9%,5.5%,65.4
