,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.7%,85.1%,4.2%,133
1,Vandal,0.8,28.5%,66.6%,4.8%,126.4
2,Outlaw,0.7,13.7%,82.5%,3.9%,124
3,Phantom,0.8,24.5%,69.7%,5.8%,117.4
4,Guardian,0.7,32.9%,63.3%,3.8%,115.1
5,Sheriff,0.5,33.4%,63.6%,3.0%,99.7
6,Odin,0.8,11.8%,72.8%,15.4%,97.8
7,Marshal,0.5,27.8%,68.8%,3.4%,95.8
8,Bulldog,0.7,25.1%,69.5%,5.4%,91.2
9,Judge,0.7,12.2%,75.0%,12.8%,85.5
10,Stinger,0.5,18.4%,74.7%,6.9%,80.5
11,Spectre,0.8,18.8%,73.8%,7.4%,80.3
12,Ares,0.6,14.9%,73.3%,11.8%,78.6
13,Ghost,0.8,31.4%,65.1%,3.5%,77.9
14,Bucky,0.5,14.7%,77.2%,8.1%,75.9
15,Shorty,0.6,15.2%,75.7%,9.2%,75
16,Classic,0.4,26.1%,69.4%,4.5%,68.4
17,Frenzy,0.6,21.5%,72.2%,6.4%,63.5
