,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.2%,79.4%,8.4%,120.6
1,Operator,0.7,9.8%,83.4%,6.8%,112.5
2,Vandal,0.7,12.5%,72.4%,15.0%,111.1
3,Guardian,0.6,11.4%,74.3%,14.3%,110.6
4,Phantom,0.7,10.7%,71.8%,17.5%,105
5,Odin,0.8,7.3%,65.3%,27.4%,99.5
6,Bulldog,0.5,10.0%,73.5%,16.5%,90.5
7,Ares,0.6,8.9%,68.3%,22.8%,88
8,Marshal,0.3,17.5%,74.2%,8.3%,86
9,Sheriff,0.5,18.6%,71.0%,10.4%,84.9
10,Spectre,0.5,9.8%,72.6%,17.6%,83.1
11,Judge,0.5,9.3%,69.6%,21.0%,77.2
12,Ghost,0.6,12.2%,74.8%,13.0%,72.3
13,Bucky,0.4,10.7%,72.2%,17.2%,67.9
14,Stinger,0.4,12.8%,70.6%,16.5%,65.7
15,Frenzy,0.5,12.0%,72.4%,15.6%,58.6
16,Classic,0.4,11.1%,74.9%,14.0%,56.3
17,Shorty,0.4,11.7%,70.5%,17.9%,51.1
