,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.6%,81.2%,5.1%,130.8
1,Operator,0.8,10.5%,85.2%,4.4%,126.6
2,Vandal,0.8,16.2%,75.2%,8.6%,120.4
3,Guardian,0.6,17.4%,75.8%,6.9%,115.7
4,Phantom,0.8,13.5%,75.8%,10.6%,113
5,Odin,0.9,8.0%,70.8%,21.2%,105.4
6,Marshal,0.4,22.5%,72.6%,4.9%,96.7
7,Bulldog,0.6,12.8%,77.0%,10.2%,94.5
8,Ares,0.6,9.7%,72.5%,17.8%,91.5
9,Sheriff,0.5,22.1%,72.6%,5.3%,88.9
10,Spectre,0.6,11.0%,76.5%,12.6%,87.5
11,Judge,0.6,11.5%,73.6%,15.0%,83.6
12,Stinger,0.5,14.6%,74.8%,10.6%,79.2
13,Ghost,0.7,17.5%,75.2%,7.3%,78.4
14,Bucky,0.5,13.5%,75.8%,10.7%,73.1
15,Classic,0.4,14.9%,76.5%,8.6%,63.7
16,Frenzy,0.6,14.2%,74.9%,10.9%,63.5
17,Shorty,0.5,13.5%,73.9%,12.6%,58.7
