,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.7%,85.1%,4.2%,132.6
1,Vandal,0.8,27.8%,67.3%,4.9%,126.2
2,Outlaw,0.7,14.3%,81.8%,3.8%,123.7
3,Phantom,0.8,23.8%,70.3%,5.9%,117.3
4,Guardian,0.7,32.1%,64.1%,3.8%,114.6
5,Sheriff,0.5,32.9%,64.1%,3.1%,98.9
6,Odin,0.8,11.6%,72.8%,15.6%,98.4
7,Marshal,0.5,27.7%,68.9%,3.4%,95.6
8,Bulldog,0.7,24.3%,70.2%,5.5%,91.5
9,Judge,0.7,12.3%,75.1%,12.6%,85.3
10,Spectre,0.8,18.4%,74.0%,7.6%,80.7
11,Stinger,0.5,18.3%,74.6%,7.1%,80.5
12,Ares,0.6,14.6%,73.5%,11.9%,79.3
13,Ghost,0.8,30.6%,65.9%,3.6%,77.9
14,Bucky,0.5,14.6%,77.3%,8.1%,75.8
15,Shorty,0.6,15.3%,75.5%,9.2%,74.5
16,Classic,0.4,25.5%,69.9%,4.6%,68.2
17,Frenzy,0.6,20.8%,72.6%,6.6%,62.9
