,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,85.2%,3.9%,131.2
1,Outlaw,0.6,15.0%,80.9%,4.2%,126.5
2,Vandal,0.8,22.9%,71.5%,5.6%,125.2
3,Phantom,0.8,19.4%,73.7%,6.8%,117.2
4,Guardian,0.7,26.8%,68.9%,4.3%,115.4
5,Odin,0.9,10.1%,73.5%,16.4%,103.8
6,Marshal,0.5,25.9%,70.3%,3.8%,96.5
7,Sheriff,0.5,28.7%,67.7%,3.6%,94.5
8,Bulldog,0.7,18.7%,74.4%,7.0%,93.1
9,Judge,0.6,12.4%,74.8%,12.7%,85.7
10,Spectre,0.7,15.1%,75.9%,9.1%,85
11,Ares,0.6,12.5%,73.8%,13.7%,84.5
12,Stinger,0.6,17.0%,75.2%,7.9%,81.7
13,Ghost,0.8,25.2%,70.4%,4.4%,78.8
14,Bucky,0.5,14.9%,76.7%,8.3%,75.5
15,Classic,0.4,21.2%,73.2%,5.7%,67.3
16,Shorty,0.5,15.0%,75.2%,9.8%,66.6
17,Frenzy,0.6,18.4%,73.8%,7.9%,63.9
