,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.7%,85.3%,3.9%,129.8
1,Outlaw,0.6,14.5%,81.2%,4.4%,129.8
2,Vandal,0.8,19.5%,73.8%,6.7%,123.5
3,Guardian,0.7,22.3%,72.6%,5.1%,116.2
4,Phantom,0.8,16.3%,75.4%,8.3%,115.8
5,Odin,0.9,9.0%,72.8%,18.2%,105.8
6,Marshal,0.4,24.5%,71.3%,4.1%,97.7
7,Bulldog,0.7,15.4%,76.2%,8.4%,94.2
8,Sheriff,0.5,25.8%,70.1%,4.1%,92
9,Ares,0.6,10.9%,73.6%,15.5%,89.1
10,Spectre,0.7,12.8%,76.7%,10.6%,87.1
11,Judge,0.6,12.1%,74.4%,13.4%,85.4
12,Stinger,0.6,15.8%,75.3%,8.9%,81.8
13,Ghost,0.8,21.4%,73.1%,5.5%,79.2
14,Bucky,0.5,14.5%,76.4%,9.1%,75
15,Classic,0.4,18.0%,75.1%,6.8%,66
16,Frenzy,0.6,16.2%,74.7%,9.1%,64.3
17,Shorty,0.5,14.5%,74.6%,10.9%,62.9
