,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,13.1%,81.2%,5.7%,129.3
1,Operator,0.8,10.3%,84.9%,4.8%,124.4
2,Vandal,0.8,15.0%,75.2%,9.8%,118.7
3,Guardian,0.6,15.4%,76.5%,8.1%,114.8
4,Phantom,0.8,12.5%,75.5%,12.0%,111.3
5,Odin,0.9,7.6%,69.6%,22.8%,105
6,Marshal,0.4,21.2%,73.4%,5.4%,95.2
7,Bulldog,0.6,11.9%,76.8%,11.3%,94.1
8,Ares,0.6,9.4%,71.7%,18.9%,91.8
9,Sheriff,0.5,20.6%,73.3%,6.1%,87.6
10,Spectre,0.6,10.4%,76.0%,13.6%,87.1
11,Judge,0.6,11.1%,73.1%,15.8%,82.3
12,Ghost,0.7,16.0%,75.6%,8.3%,77.7
13,Stinger,0.5,14.2%,74.3%,11.5%,77.3
14,Bucky,0.5,13.0%,75.4%,11.5%,72.1
15,Frenzy,0.6,13.5%,74.8%,11.7%,63.4
16,Classic,0.4,13.7%,76.7%,9.6%,62.3
17,Shorty,0.5,13.2%,73.5%,13.3%,57.7
