,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.9%,85.2%,3.9%,130.7
1,Outlaw,0.6,14.8%,81.0%,4.2%,127.1
2,Vandal,0.8,22.1%,72.1%,5.8%,124.7
3,Phantom,0.8,18.7%,74.2%,7.1%,116.9
4,Guardian,0.7,25.8%,69.8%,4.4%,115.2
5,Odin,0.9,9.9%,73.4%,16.7%,104.2
6,Marshal,0.5,25.7%,70.5%,3.9%,96.8
7,Sheriff,0.5,28.1%,68.3%,3.6%,93.8
8,Bulldog,0.7,17.9%,74.8%,7.3%,93.1
9,Judge,0.6,12.4%,74.8%,12.8%,85.7
10,Spectre,0.7,14.6%,76.1%,9.4%,85.4
11,Ares,0.6,12.2%,73.8%,14.0%,85.3
12,Stinger,0.6,16.7%,75.3%,8.0%,82
13,Ghost,0.8,24.4%,71.0%,4.6%,78.8
14,Bucky,0.5,14.8%,76.7%,8.5%,75.3
15,Classic,0.4,20.5%,73.5%,5.9%,66.9
16,Shorty,0.5,14.9%,75.0%,10.1%,65.4
17,Frenzy,0.6,17.8%,74.1%,8.1%,63.8
