,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.8%,85.3%,3.9%,130.5
1,Outlaw,0.6,14.6%,81.1%,4.3%,129.4
2,Vandal,0.9,20.5%,73.2%,6.3%,124.3
3,Phantom,0.8,17.2%,75.0%,7.8%,116.6
4,Guardian,0.7,23.6%,71.6%,4.8%,116.2
5,Odin,0.9,9.3%,73.1%,17.6%,105.5
6,Marshal,0.5,25.0%,71.0%,4.0%,97.8
7,Bulldog,0.7,16.3%,75.8%,7.9%,94.2
8,Sheriff,0.5,26.6%,69.4%,3.9%,92.8
9,Ares,0.6,11.3%,73.7%,14.9%,88
10,Spectre,0.7,13.4%,76.5%,10.1%,86.8
11,Judge,0.6,12.2%,74.6%,13.2%,85.7
12,Stinger,0.6,16.1%,75.2%,8.7%,82
13,Ghost,0.8,22.5%,72.4%,5.2%,79.3
14,Bucky,0.5,14.5%,76.6%,8.9%,75.5
15,Classic,0.4,18.9%,74.6%,6.5%,66.5
16,Frenzy,0.6,16.6%,74.6%,8.8%,64.4
17,Shorty,0.5,14.7%,74.7%,10.6%,64.1
